FIPS,Deaths,Population,Crude_Rate

"01001",Suppressed,55347,Suppressed

"01003",19,203709,Unreliable

"01005",Suppressed,26489,Suppressed

"01007",Suppressed,22583,Suppressed

"01009",11,57673,Unreliable

"01011",Suppressed,10696,Suppressed

"01013",Suppressed,20154,Suppressed

"01015",Suppressed,115620,Suppressed

"01017",Suppressed,34123,Suppressed

"01019",Suppressed,25859,Suppressed

"01021",Suppressed,43943,Suppressed

"01023",Suppressed,13170,Suppressed

"01025",Suppressed,24675,Suppressed

"01027",Suppressed,13555,Suppressed

"01029",Suppressed,15018,Suppressed

"01031",Suppressed,51211,Suppressed

"01033",Suppressed,54354,Suppressed

"01035",Suppressed,12672,Suppressed

"01037",Suppressed,10724,Suppressed

"01039",Suppressed,37835,Suppressed

"01041",Suppressed,13963,Suppressed

"01043",Suppressed,82005,Suppressed

"01045",Suppressed,49565,Suppressed

"01047",Suppressed,41131,Suppressed

"01049",Suppressed,71130,Suppressed

"01051",Suppressed,81468,Suppressed

"01053",Suppressed,37789,Suppressed

"01055",Suppressed,103057,Suppressed

"01057",Suppressed,16759,Suppressed

"01059",Suppressed,31696,Suppressed

"01061",Suppressed,26777,Suppressed

"01063",Suppressed,8479,Suppressed

"01065",Suppressed,15068,Suppressed

"01067",Suppressed,17221,Suppressed

"01069",Suppressed,104173,Suppressed

"01071",Suppressed,52419,Suppressed

"01073",136,660367,20.6

"01075",Suppressed,13886,Suppressed

"01077",Suppressed,92596,Suppressed

"01079",Suppressed,33115,Suppressed

"01081",Suppressed,156993,Suppressed

"01083",Suppressed,91663,Suppressed

"01085",Suppressed,10458,Suppressed

"01087",Suppressed,19105,Suppressed

"01089",Suppressed,353089,Suppressed

"01091",Suppressed,20028,Suppressed

"01093",Suppressed,30168,Suppressed

"01095",Suppressed,94725,Suppressed

"01097",23,415395,5.5

"01099",Suppressed,21673,Suppressed

"01101",Suppressed,226519,Suppressed

"01103",Suppressed,119565,Suppressed

"01105",Suppressed,9652,Suppressed

"01107",Suppressed,20864,Suppressed

"01109",Suppressed,33046,Suppressed

"01111",Suppressed,22696,Suppressed

"01113",Suppressed,59660,Suppressed

"01115",Suppressed,87074,Suppressed

"01117",11,208713,Unreliable

"01119",Suppressed,13103,Suppressed

"01121",Suppressed,80862,Suppressed

"01123",Suppressed,40844,Suppressed

"01125",Suppressed,203976,Suppressed

"01127",Suppressed,65294,Suppressed

"01129",Suppressed,16804,Suppressed

"01131",Suppressed,11059,Suppressed

"01133",Suppressed,23877,Suppressed

"02013",Suppressed,3341,Suppressed

"02016",Suppressed,5702,Suppressed

"02020",37,298695,12.4

"02050",Suppressed,17946,Suppressed

"02060",Suppressed,892,Suppressed

"02068",Suppressed,1919,Suppressed

"02070",Suppressed,4997,Suppressed

"02090",Suppressed,99631,Suppressed

"02100",Suppressed,2534,Suppressed

"02105",Suppressed,2133,Suppressed

"02110",Suppressed,32756,Suppressed

"02122",12,58059,Unreliable

"02130",Suppressed,13709,Suppressed

"02150",Suppressed,13889,Suppressed

"02164",Suppressed,1563,Suppressed

"02170",11,101095,Unreliable

"02180",Suppressed,9846,Suppressed

"02185",Suppressed,9687,Suppressed

"02188",Suppressed,7752,Suppressed

"02195",Suppressed,3177,Suppressed

"02198",Suppressed,6341,Suppressed

"02201",Missing,Missing,Missing

"02220",Suppressed,8863,Suppressed

"02230",Suppressed,1057,Suppressed

"02232",Missing,Missing,Missing

"02240",Suppressed,6839,Suppressed

"02261",Suppressed,9362,Suppressed

"02270",Suppressed,8119,Suppressed

"02275",Suppressed,2382,Suppressed

"02280",Missing,Missing,Missing

"02282",Suppressed,613,Suppressed

"02290",Suppressed,5533,Suppressed

"04001",Suppressed,71474,Suppressed

"04003",24,126427,19.0

"04005",10,139097,Unreliable

"04007",Suppressed,53159,Suppressed

"04009",Suppressed,37666,Suppressed

"04011",Suppressed,9529,Suppressed

"04012",Suppressed,20152,Suppressed

"04013",321,4167947,7.7

"04015",44,204737,21.5

"04017",Suppressed,108277,Suppressed

"04019",149,1010025,14.8

"04021",32,406584,7.9

"04023",Suppressed,46461,Suppressed

"04025",13,222255,Unreliable

"04027",Suppressed,204275,Suppressed

"05001",Suppressed,18433,Suppressed

"05003",Suppressed,20838,Suppressed

"05005",Suppressed,41053,Suppressed

"05007",18,249672,Unreliable

"05009",Suppressed,37222,Suppressed

"05011",Suppressed,11094,Suppressed

"05013",Suppressed,5229,Suppressed

"05015",Suppressed,27704,Suppressed

"05017",Suppressed,11027,Suppressed

"05019",Suppressed,22633,Suppressed

"05021",Suppressed,15109,Suppressed

"05023",Suppressed,25467,Suppressed

"05025",Suppressed,8311,Suppressed

"05027",Suppressed,24114,Suppressed

"05029",Suppressed,21019,Suppressed

"05031",Suppressed,104354,Suppressed

"05033",Suppressed,61703,Suppressed

"05035",Suppressed,48963,Suppressed

"05037",Suppressed,17284,Suppressed

"05039",Suppressed,7604,Suppressed

"05041",Suppressed,11965,Suppressed

