"County"	FIPS	Deaths	Population	Crude_Rate
	"Autauga County, AL"	"01001"	Suppressed	55395	Suppressed
	"Baldwin County, AL"	"01003"	16	200111	Unreliable
	"Barbour County, AL"	"01005"	Suppressed	26887	Suppressed
	"Bibb County, AL"	"01007"	Suppressed	22506	Suppressed
	"Blount County, AL"	"01009"	Suppressed	57719	Suppressed
	"Bullock County, AL"	"01011"	Suppressed	10764	Suppressed
	"Butler County, AL"	"01013"	Suppressed	20296	Suppressed
	"Calhoun County, AL"	"01015"	Suppressed	115916	Suppressed
	"Chambers County, AL"	"01017"	Suppressed	34076	Suppressed
	"Cherokee County, AL"	"01019"	Suppressed	26037	Suppressed
	"Chilton County, AL"	"01021"	Suppressed	43931	Suppressed
	"Choctaw County, AL"	"01023"	Suppressed	13323	Suppressed
	"Clarke County, AL"	"01025"	Suppressed	24945	Suppressed
	"Clay County, AL"	"01027"	Suppressed	13552	Suppressed
	"Cleburne County, AL"	"01029"	Suppressed	15080	Suppressed
	"Coffee County, AL"	"01031"	Suppressed	50909	Suppressed
	"Colbert County, AL"	"01033"	Suppressed	54543	Suppressed
	"Conecuh County, AL"	"01035"	Suppressed	12670	Suppressed
	"Coosa County, AL"	"01037"	Suppressed	10886	Suppressed
	"Covington County, AL"	"01039"	Suppressed	37914	Suppressed
	"Crenshaw County, AL"	"01041"	Suppressed	13977	Suppressed
	"Cullman County, AL"	"01043"	Suppressed	81289	Suppressed
	"Dale County, AL"	"01045"	Suppressed	49484	Suppressed
	"Dallas County, AL"	"01047"	Suppressed	41711	Suppressed
	"DeKalb County, AL"	"01049"	Suppressed	71065	Suppressed
	"Elmore County, AL"	"01051"	Suppressed	80977	Suppressed
	"Escambia County, AL"	"01053"	Suppressed	37733	Suppressed
	"Etowah County, AL"	"01055"	Suppressed	103531	Suppressed
	"Fayette County, AL"	"01057"	Suppressed	16874	Suppressed
	"Franklin County, AL"	"01059"	Suppressed	31601	Suppressed
	"Geneva County, AL"	"01061"	Suppressed	26712	Suppressed
	"Greene County, AL"	"01063"	Suppressed	8553	Suppressed
	"Hale County, AL"	"01065"	Suppressed	15184	Suppressed
	"Henry County, AL"	"01067"	Suppressed	17190	Suppressed
	"Houston County, AL"	"01069"	Suppressed	104193	Suppressed
	"Jackson County, AL"	"01071"	Suppressed	52665	Suppressed
	"Jefferson County, AL"	"01073"	147	660793	22.2
	"Lamar County, AL"	"01075"	Suppressed	14086	Suppressed
	"Lauderdale County, AL"	"01077"	Suppressed	93096	Suppressed
	"Lawrence County, AL"	"01079"	Suppressed	33477	Suppressed
	"Lee County, AL"	"01081"	Suppressed	154255	Suppressed
	"Limestone County, AL"	"01083"	Suppressed	90787	Suppressed
	"Lowndes County, AL"	"01085"	Suppressed	10580	Suppressed
	"Macon County, AL"	"01087"	Suppressed	19425	Suppressed
	"Madison County, AL"	"01089"	Suppressed	350299	Suppressed
	"Marengo County, AL"	"01091"	Suppressed	20110	Suppressed
	"Marion County, AL"	"01093"	Suppressed	30271	Suppressed
	"Marshall County, AL"	"01095"	Suppressed	94636	Suppressed
	"Mobile County, AL"	"01097"	18	415123	Unreliable
	"Monroe County, AL"	"01099"	Suppressed	21947	Suppressed
	"Montgomery County, AL"	"01101"	Suppressed	226189	Suppressed
	"Morgan County, AL"	"01103"	Suppressed	119607	Suppressed
	"Perry County, AL"	"01105"	Suppressed	9826	Suppressed
	"Pickens County, AL"	"01107"	Suppressed	20365	Suppressed
	"Pike County, AL"	"01109"	Suppressed	33389	Suppressed
	"Randolph County, AL"	"01111"	Suppressed	22539	Suppressed
	"Russell County, AL"	"01113"	Suppressed	59608	Suppressed
	"St. Clair County, AL"	"01115"	Suppressed	86697	Suppressed
	"Shelby County, AL"	"01117"	14	206655	Unreliable
	"Sumter County, AL"	"01119"	Suppressed	13166	Suppressed
	"Talladega County, AL"	"01121"	Suppressed	81322	Suppressed
	"Tallapoosa County, AL"	"01123"	Suppressed	41165	Suppressed
	"Tuscaloosa County, AL"	"01125"	Suppressed	202212	Suppressed
	"Walker County, AL"	"01127"	Suppressed	65471	Suppressed
	"Washington County, AL"	"01129"	Suppressed	16834	Suppressed
	"Wilcox County, AL"	"01131"	Suppressed	11098	Suppressed
	"Winston County, AL"	"01133"	Suppressed	24150	Suppressed
	"Aleutians East Borough, AK"	"02013"	Suppressed	3360	Suppressed
	"Aleutians West Census Area, AK"	"02016"	Suppressed	5750	Suppressed
	"Anchorage Borough, AK"	"02020"	31	301010	10.3
	"Bethel Census Area, AK"	"02050"	Suppressed	17868	Suppressed
	"Bristol Bay Borough, AK"	"02060"	Suppressed	957	Suppressed
	"Denali Borough, AK"	"02068"	Suppressed	1921	Suppressed
	"Dillingham Census Area, AK"	"02070"	Suppressed	4988	Suppressed
	"Fairbanks North Star Borough, AK"	"02090"	Suppressed	99357	Suppressed
	"Haines Borough, AK"	"02100"	Suppressed	2566	Suppressed
	"Hoonah-Angoon Census Area, AK"	"02105"	Suppressed	2082	Suppressed
	"Juneau Borough, AK"	"02110"	Suppressed	32406	Suppressed
	"Kenai Peninsula Borough, AK"	"02122"	Suppressed	57477	Suppressed
	"Ketchikan Gateway Borough, AK"	"02130"	Suppressed	13787	Suppressed
	"Kodiak Island Borough, AK"	"02150"	Suppressed	13986	Suppressed
	"Lake and Peninsula Borough, AK"	"02164"	Suppressed	1631	Suppressed
	"Matanuska-Susitna Borough, AK"	"02170"	11	97882	Unreliable
