,County,Cases,Rate_per_100k
0,"Abbeville County, SC",Data suppressed,Data suppressed
1,"Acadia Parish, LA",10,19.8
2,"Accomack County, VA",Data suppressed,Data suppressed
3,"Ada County, ID",14,3.6
4,"Adair County, IA",0,0.0
5,"Adair County, KY",Data suppressed,Data suppressed
6,"Adair County, MO",0,0.0
7,"Adair County, OK",0,0.0
8,"Adams County, CO",48,11.6
9,"Adams County, IA",0,0.0
10,"Adams County, ID",0,0.0
11,"Adams County, IL",0,0.0
12,"Adams County, IN",Data suppressed,Data suppressed
13,"Adams County, MS",9,33.7
14,"Adams County, ND",0,0.0
15,"Adams County, NE",Data suppressed,Data suppressed
16,"Adams County, OH",Data suppressed,Data suppressed
17,"Adams County, PA",Data suppressed,Data suppressed
18,"Adams County, WA",Data suppressed,Data suppressed
19,"Adams County, WI",0,0.0
20,"Addison County, VT",Data suppressed,Data suppressed
21,"Aiken County, SC",24,16.8
22,"Aitkin County, MN",0,0.0
23,"Alachua County, FL",41,17.5
24,"Alamance County, NC",20,14.3
25,"Alameda County, CA",198,14.0
26,"Alamosa County, CO",Data suppressed,Data suppressed
27,"Albany County, NY",26,9.7
28,"Albany County, WY",Data suppressed,Data suppressed
29,"Albemarle County, VA",11,11.8
30,"Alcona County, MI",0,0.0
31,"Alcorn County, MS",Data suppressed,Data suppressed
32,"Aleutians East Borough, AK",Data suppressed,Data suppressed
33,"Aleutians West Census Area, AK",Data suppressed,Data suppressed
34,"Alexander County, IL",Data suppressed,Data suppressed
35,"Alexander County, NC",0,0.0
36,"Alexandria City, VA",27,19.7
37,"Alfalfa County, OK",0,0.0
38,"Alger County, MI",0,0.0
39,"Allamakee County, IA",0,0.0
40,"Allegan County, MI",Data suppressed,Data suppressed
41,"Allegany County, MD",8,12.8
42,"Allegany County, NY",Data suppressed,Data suppressed
43,"Alleghany County, NC",0,0.0
44,"Alleghany County, VA",0,0.0
45,"Allegheny County, PA",85,8.1
46,"Allen County, IN",25,8.2
47,"Allen County, KS",0,0.0
48,"Allen County, KY",Data suppressed,Data suppressed
49,"Allen County, OH",7,8.2
50,"Allen Parish, LA",Data suppressed,Data suppressed
51,"Allendale County, SC",Data suppressed,Data suppressed
52,"Alpena County, MI",0,0.0
53,"Alpine County, CA",0,0.0
54,"Amador County, CA",Data suppressed,Data suppressed
55,"Amelia County, VA",Data suppressed,Data suppressed
56,"Amherst County, VA",Data suppressed,Data suppressed
57,"Amite County, MS",Data suppressed,Data suppressed
58,"Anchorage Municipality, AK",Data suppressed,Data suppressed
59,"Anderson County, KS",Data suppressed,Data suppressed
60,"Anderson County, KY",Data suppressed,Data suppressed
61,"Anderson County, SC",10,6.0
62,"Anderson County, TN",6,9.2
63,"Anderson County, TX",15,29.9
64,"Andrew County, MO",0,0.0
65,"Andrews County, TX",0,0.0
66,"Androscoggin County, ME",Data suppressed,Data suppressed
67,"Angelina County, TX",13,18.3
68,"Anne Arundel County, MD",46,9.5
69,"Anoka County, MN",14,4.8
70,"Anson County, NC",Data suppressed,Data suppressed
71,"Antelope County, NE",0,0.0
72,"Antrim County, MI",0,0.0
73,"Apache County, AZ",8,13.8
74,"Appanoose County, IA",0,0.0
75,"Appling County, GA",Data suppressed,Data suppressed
