,County FIPS,Poverty Percent All Ages,Median Household Income
0,00000,15.3,50046
1,01000,18.9,40538
2,01001,11.9,53049
3,01003,13.3,47618
4,01005,25.3,33074
5,01007,20.9,35472
6,01009,16.5,42906
7,01011,31.1,25969
8,01013,28.1,29500
9,01015,23.5,37916
10,01017,28.5,30061
11,01019,21.2,34410
12,01021,20.4,38553
13,01023,20.7,32003
14,01025,24.9,33739
15,01027,20.6,33035
16,01029,17.8,37566
17,01031,20.1,40779
18,01033,19.2,37455
19,01035,25.7,27855
20,01037,18.6,33721
21,01039,20.9,33484
22,01041,20.3,35577
23,01043,19.2,37948
24,01045,17.8,41287
25,01047,35.6,26195
26,01049,20.8,34822
27,01051,12.5,51013
28,01053,26.1,31365
29,01055,19,36088
30,01057,27.3,32643
31,01059,21.6,33649
32,01061,20.3,34418
33,01063,31,27117
34,01065,24.8,31790
35,01067,18.1,37851
36,01069,17.9,39290
37,01071,19.9,36158
38,01073,18.6,41740
39,01075,21.5,32993
40,01077,17.6,39213
41,01079,18.1,37365
42,01081,21.3,40102
43,01083,14.1,49667
44,01085,30.7,28754
45,01087,31.2,27041
46,01089,12.7,54633
47,01091,23.6,33085
48,01093,20.9,32080
49,01095,19.4,38859
50,01097,20.5,39753
51,01099,28.4,31744
52,01101,21.3,41556
53,01103,14.1,44859
54,01105,39.5,24742
55,01107,24.4,31032
56,01109,30,32771
57,01111,24.8,32584
58,01113,24.1,32733
59,01115,13,48296
60,01117,9.8,67135
61,01119,31.3,25586
62,01121,22.7,35646
63,01123,18.3,34440
64,01125,18,43098
65,01127,23.2,36044
66,01129,19.6,37639
67,01131,39.6,21611
68,01133,20.3,32574
69,02000,11,63456
70,02013,16.8,47077
71,02016,9,58517
72,02020,9.6,70524
73,02050,22.6,45481
74,02060,8.8,62912
75,02068,5.6,61004
76,02070,20.6,46845
77,02090,9.4,60472
78,02100,12.1,46111
79,02105,19.4,38122
80,02110,8.2,69844
81,02122,10.7,57347
82,02130,10,58073
83,02150,8.3,59847
84,02164,17.7,39794
85,02170,10.9,68670
86,02180,24.6,43147
87,02185,11.4,68744
88,02188,20,49466
89,02195,10.6,52294
90,02198,17.2,40756
91,02220,9.1,58000
92,02230,4.2,58550
93,02240,13.4,54508
94,02261,9,60297
95,02270,34.1,30883
96,02275,13.1,42752
97,02282,14.7,49331
98,02290,27.1,35177
99,04000,17.6,46787
100,04001,34.5,30651
101,04003,17.7,43677
102,04005,23.8,43051
103,04007,19.8,37430
104,04009,21.6,39299
105,04011,12.7,49592
106,04012,23.7,33818
107,04013,16.6,50424
108,04015,18.7,36446
109,04017,27.8,37723
110,04019,17.8,44293
111,04021,14.4,49833
112,04023,28,33952
113,04025,18.3,40562
114,04027,21.1,40609
115,05000,18.7,38413
116,05001,18.6,38129
117,05003,19.4,37042
118,05005,15.7,34421
119,05007,10.2,52417
120,05009,16,35532
121,05011,28.5,31047
122,05013,15.6,36955
123,05015,16.4,33789
124,05017,30.7,27321
125,05019,22.2,33433
126,05021,18.3,31976
127,05023,18.6,35472
128,05025,15.5,40402
129,05027,25.6,34538
130,05029,18.2,37475
131,05031,21.1,37780
132,05033,15.8,39672
133,05035,30.3,33938
134,05037,19.6,35080
135,05039,19.4,31350
136,05041,28,29586
137,05043,20.9,34952
138,05045,14.8,46199
139,05047,17.2,38514
140,05049,18.9,30191
141,05051,21.7,36690
