,County FIPS Code,"Poverty Percent, All Ages",Median Household Income
0,00000,13.1,61937
1,01000,16.8,49881
2,01001,13.8,59338
3,01003,9.8,57588
4,01005,30.9,34382
5,01007,21.8,46064
6,01009,13.2,50412
7,01011,42.5,29267
8,01013,24.5,37365
9,01015,19.5,45400
10,01017,18.7,39917
11,01019,16.3,42132
12,01021,17.3,47547
13,01023,22.1,39907
14,01025,22.8,40741
15,01027,17.6,39201
16,01029,16,46495
17,01031,13.8,55122
18,01033,13.8,49055
19,01035,24.4,32613
20,01037,18.9,42423
21,01039,19.9,40203
22,01041,19.5,39057
23,01043,14.5,45796
24,01045,16.2,45309
25,01047,31.4,34035
26,01049,21.3,39491
27,01051,11.2,60367
28,01053,23.6,38418
29,01055,17.5,44903
30,01057,23.5,39254
31,01059,19.2,39388
32,01061,21.3,37823
33,01063,30.1,28524
34,01065,25.6,34724
35,01067,17.9,46027
36,01069,16.5,47993
37,01071,19.7,41929
38,01073,16.1,55013
39,01075,17.4,40936
40,01077,14,48707
41,01079,19.3,43909
42,01081,19,48937
43,01083,11.4,64863
44,01085,25.1,33973
45,01087,30.2,32495
46,01089,11.9,63755
47,01091,24,37733
48,01093,20.2,37887
49,01095,18.3,46233
50,01097,20.8,43598
51,01099,21.9,39556
52,01101,20.1,49640
53,01103,13.2,52797
54,01105,35.3,26814
55,01107,23.1,37586
56,01109,23.6,37259
57,01111,19.7,40546
58,01113,21.7,39104
59,01115,12,57284
60,01117,8,75663
61,01119,34.7,27859
62,01121,19.3,41630
63,01123,19.7,42205
64,01125,16.8,52557
65,01127,17.9,45434
66,01129,17.6,44424
67,01131,33.4,25385
68,01133,18.6,41156
69,02000,11.1,74912
70,02013,15.5,70081
71,02016,10,82633
72,02020,9.5,82113
73,02050,32.7,44304
74,02060,11.2,77257
75,02068,6.9,75477
76,02070,22,54524
77,02090,8.6,74268
78,02100,10.5,58943
79,02105,17.2,51188
80,02110,7.3,79173
81,02122,12.4,65439
82,02130,9.1,68309
83,02150,8.2,74109
84,02158,35.1,32728
85,02164,18.2,49403
86,02170,10.4,74649
87,02180,22,55318
88,02185,11.1,89276
89,02188,21.1,59337
90,02195,7.2,66075
91,02198,16.5,49356
92,02220,7.7,71825
93,02230,4.3,74635
94,02240,13.4,63527
95,02261,9.7,68528
96,02275,11.6,57832
97,02282,13.1,59523
98,02290,23.7,38912
99,04000,14.1,59079
100,04001,37.3,33652
101,04003,15.1,49164
102,04005,15.9,60187
103,04007,20.4,43585
104,04009,20.2,50157
105,04011,10.5,65818
106,04012,23.7,37350
107,04013,12.3,65234
108,04015,16.8,45129
109,04017,28.5,40650
110,04019,16.2,53395
111,04021,12.9,58848
112,04023,24.4,40545
113,04025,13.2,48758
114,04027,19.5,44116
115,05000,16.8,47094
116,05001,17.9,43887
117,05003,19.6,41127
118,05005,15.1,39686
119,05007,8.6,68978
120,05009,14.8,44482
121,05011,21.7,37729
122,05013,15.7,44969
123,05015,16.1,45023
124,05017,31.4,31787
125,05019,19.9,45408
126,05021,20.7,37687
127,05023,14.6,44902
128,05025,15.5,47600
129,05027,22.4,40909
130,05029,17.9,44565
131,05031,17.9,45615
132,05033,16,47363
133,05035,19.2,42606
134,05037,18,41214
135,05039,21.3,37259
136,05041,24.3,36132
137,05043,19.5,42494
138,05045,15.4,53882
139,05047,18.3,43696
140,05049,20.6,35630
141,05051,20.4,43610
142,05053,13.1,52050
143,05055,16.5,46512
144,05057,20.6,38682
145,05059,18.7,47205
146,05061,17.3,40199
147,05063,14.5,45596
148,05065,18.7,37828
149,05067,25.6,36573
150,05069,22.2,38596
151,05071,22.2,39381
152,05073,22.8,35527
153,05075,17.7,40308
154,05077,43,28080
155,05079,27.5,44951
156,05081,16,43559
157,05083,18.6,41471
158,05085,11.9,56651
159,05087,18.4,42674
160,05089,18.7,36581
161,05091,21.9,42162
162,05093,25.7,36718
163,05095,26,32922
164,05097,18.8,38318
165,05099,21.3,37626
166,05101,17.4,36078
167,05103,23.3,37624
168,05105,14.7,45342
169,05107,35.4,29945
170,05109,17.8,41534
171,05111,23.7,37370
172,05113,20,39048
173,05115,16,45788
174,05117,15.8,43245
175,05119,16.7,49957
176,05121,17.4,37799
177,05123,35.6,33257
178,05125,9.7,63677
179,05127,20.2,35826
180,05129,24.3,31659
181,05131,15.6,46843
182,05133,20.1,44100
183,05135,20.7,36032
184,05137,20.3,34009
185,05139,18.2,45335
186,05141,16.4,40486
187,05143,15.2,50893
188,05145,16.6,44811
189,05147,23.7,34306
190,05149,16.3,41729
191,06000,12.8,75250
192,06001,9,101744
193,06003,17.3,55384
194,06005,11.8,58515
195,06007,18.5,50945
196,06009,12.1,62984
197,06011,11,57249
198,06013,7.8,101463
199,06015,20.4,48518
200,06017,8.1,81869
201,06019,21.3,52318
202,06021,15.4,47365
203,06023,20.3,49471
204,06025,21.4,46633
205,06027,12.3,53793
206,06029,20.5,51586
207,06031,18.8,58255
208,06033,18.4,45086
209,06035,15.8,57705
210,06037,14.2,67986
211,06039,20.2,53632
212,06041,6.6,122933
213,06043,14.9,51402
214,06045,17.5,51386
215,06047,21.2,56169
216,06049,19.1,45227
217,06051,9.3,66499
218,06053,13.3,69665
219,06055,8.8,85624
220,06057,10.3,66681
221,06059,10.5,89373
222,06061,7.1,89175
223,06063,12.5,55079
224,06065,12.7,66793
225,06067,14.3,69475
226,06069,8.6,80063
227,06071,14.9,63310
228,06073,11.5,78777
229,06075,10.1,110601
230,06077,14.3,63567
231,06079,12.7,70626
232,06081,6.8,122930
233,06083,12.6,75646
234,06085,7.3,125933
235,06087,12.2,84213
236,06089,15.2,53908
237,06091,13.3,52308
238,06093,17.1,47560
239,06095,7.9,82808
240,06097,9.9,81002
241,06099,15.6,59616
242,06101,13.5,57879
243,06103,17,47572
244,06105,21.6,40680
245,06107,22.2,48763
246,06109,12.5,56500
247,06111,9.1,84170
248,06113,20.1,67804
249,06115,17.2,47504
250,08000,9.7,71949
251,08001,9.2,70199
252,08003,19.1,42897
253,08005,8.1,76665
254,08007,11.2,53337
255,08009,19.4,38294
256,08011,33.9,37659
257,08013,9.7,83591
258,08014,4.9,96924
259,08015,10.9,56168
260,08017,12.6,54504
261,08019,7.2,74019
262,08021,21.4,38777
263,08023,25.2,31557
264,08025,44.3,35880
265,08027,12,55242
266,08029,14.6,46786
267,08031,11.7,68069
268,08033,12.8,47482
269,08035,2.6,120670
270,08037,6.7,86896
271,08039,5,98247
272,08041,9.9,67923
273,08043,16.5,47885
274,08045,8.4,74421
275,08047,6.7,72949
276,08049,7.9,69214
277,08051,10.4,61268
278,08053,8.6,62149
279,08055,21.7,38242
280,08057,13.4,51457
281,08059,7,85550
282,08061,13.8,44704
283,08063,12.6,48342
284,08065,12.6,51802
285,08067,9.2,66219
286,08069,10.5,71306
287,08071,19.2,41485
288,08073,16.2,46690
289,08075,14.5,53168
290,08077,14.4,51132
291,08079,9.3,60210
292,08081,12.3,59500
293,08083,16.3,50180
294,08085,11.6,52576
295,08087,12.2,55387
296,08089,20.8,40064
297,08091,7.5,68900
298,08093,8.1,72121
299,08095,10.8,52367
300,08097,6.8,89034
301,08099,21.6,42455
302,08101,17.2,48308
303,08103,10.8,63411
304,08105,14.5,44171
305,08107,7,81033
306,08109,24.6,36869
307,08111,14.4,46878
308,08113,8.6,69458
309,08115,14.9,40009
310,08117,6.7,80078
311,08119,7.4,64850
312,08121,13.7,47869
313,08123,10.5,75629
314,08125,12.1,53253
315,09000,10.3,76366
316,09001,10,91183
317,09003,11.2,73037
318,09005,6.9,76304
319,09007,6.7,88709
320,09009,11.6,67720
321,09011,9.8,67790
322,09013,8,89584
323,09015,11.7,65182
324,10000,12.2,65467
325,10001,13.8,54980
326,10003,11.6,69562
327,10005,12.3,59821
328,11000,16.1,82533
