FIPS_Code,Prescription_Rate_2013
02013,–
02016,–
02020,68.6
02050,–
02060,–
02068,–
02070,–
02090,53.9
02100,–
02105,–
02110,90.2
02122,102.2
02130,102.9
02150,41.7
02164,–
02170,92.3
02180,–
02185,–
02188,–
02195,100.5
02198,52.6
02220,–
02230,–
02240,–
02261,60.2
02270,–
02275,–
02282,–
02290,–
01001,166.7
01003,154.3
01005,107.5
01007,70.5
01009,65.9
01011,41.2
01013,149.7
01015,188.9
01017,169.7
01019,163.8
01021,134.3
01023,125.9
01025,189.0
01027,163.3
01029,41.8
01031,147.2
01033,229.9
01035,170.8
01037,51.8
01039,219.0
01041,111.8
01043,190.4
01045,74.0
01047,125.7
01049,123.6
01051,132.2
01053,164.2
01055,199.1
01057,150.9
01059,237.6
01061,44.3
01063,48.0
01065,102.7
01067,36.5
01069,179.8
01071,140.5
01073,136.7
01075,81.2
01077,156.1
01079,130.5
01081,74.9
01083,79.5
01085,9.6
01087,75.8
01089,131.8
01091,147.1
01093,222.0
01095,229.8
01097,164.2
01099,150.1
01101,112.0
01103,159.9
01105,–
01107,133.0
01109,117.5
01111,128.0
01113,146.0
01115,117.8
01117,119.4
01119,50.1
01121,167.5
01123,111.1
01125,123.8
01127,317.1
01129,37.4
01131,58.2
01133,200.5
05001,83.7
05003,101.2
05005,155.6
05007,95.2
05009,167.8
05011,150.4
05013,93.7
05015,74.2
05017,50.6
05019,117.5
05021,87.5
05023,122.9
05025,–
05027,121.4
05029,95.8
05031,161.9
05033,174.3
05035,101.2
05037,107.7
05039,110.8
05041,143.8
05043,121.1
05045,104.0
05047,19.0
05049,105.5
05051,200.3
05053,64.3
05055,184.9
05057,141.4
05059,118.4
05061,173.6
05063,197.0
05065,99.6
05067,163.2
05069,112.5
05071,146.8
05073,–
05075,38.0
05077,34.9
05079,61.5
05081,159.9
05083,35.6
05085,113.5
05087,79.1
05089,74.8
05091,141.6
05093,136.0
05095,81.3
05097,108.0
05099,–
05101,–
05103,137.0
05105,94.9
05107,171.1
05109,–
05111,93.8
05113,123.7
05115,148.2
05117,101.3
05119,120.2
05121,112.2
05123,94.7
05125,100.4
05127,141.6
05129,111.8
05131,190.4
05133,64.8
05135,108.3
05137,86.9
05139,133.6
05141,86.7
05143,108.2
05145,129.9
05147,30.3
05149,36.9
04001,22.1
04003,83.3
04005,57.9
04007,129.4
04009,117.0
04011,–
04012,85.2
04013,78.5
04015,140.5
04017,74.5
04019,86.4
04021,64.1
04023,26.4
04025,112.6
04027,57.9
06001,39.4
06003,–
06005,140.7
06007,157.3
06009,94.5
06011,56.4
06013,55.5
06015,170.6
06017,80.2
06019,68.1
06021,83.0
06023,128.1
06025,59.1
06027,70.4
06029,65.8
06031,82.1
06033,171.2
06035,111.2
06037,40.3
06039,61.9
06041,48.3
06043,71.1
06045,129.4
06047,75.0
06049,117.2
06051,56.1
06053,62.9
06055,51.7
06057,105.3
06059,48.7
06061,76.3
06063,121.5
06065,56.6
06067,63.6
06069,56.1
06071,57.6
06073,47.8
06075,42.4
06077,70.2
06079,87.2
06081,38.6
06083,64.8
06085,30.2
06087,74.5
06089,160.2
06091,43.7
06093,124.0
06095,56.5
06097,70.6
06099,106.2
06101,124.9
06103,121.6
06105,117.0
06107,84.3
06109,162.4
06111,62.3
06113,55.5
06115,105.5
08001,60.3
08003,202.6
08005,66.1
08007,71.8
08009,98.5
08011,55.9
08013,57.1
08014,65.4
08015,103.7
08017,70.0
08019,35.9
08021,–
08023,–
08025,37.9
08027,–
08029,96.2
08031,49.0
08033,–
08035,57.5
08037,52.9
08039,37.2
08041,75.7
08043,84.0
08045,91.5
08047,–
08049,52.2
08051,60.9
08053,–
08055,108.4
08057,–
08059,85.2
08061,133.4
08063,–
08065,78.6
08067,70.7
08069,80.6
08071,143.0
08073,–
08075,112.2
08077,87.0
08079,–
08081,164.1
08083,96.5
08085,96.9
08087,96.7
08089,127.2
08091,47.3
08093,8.9
08095,30.6
08097,33.9
08099,98.0
08101,130.0
08103,37.7
08105,88.7
08107,82.8
08109,–
08111,–
08113,40.4
08115,–
08117,76.9
08119,121.3
08121,–
08123,72.9
08125,87.5
09001,52.4
09003,67.7
09005,70.3
09007,74.0
09009,77.5
09011,80.6
09013,55.2
09015,82.6
11001,41.1
10001,91.7
10003,83.3
10005,118.5
12001,77.0
12003,145.9
12005,126.4
12007,106.8
12009,98.6
12011,55.8
12013,78.5
12015,83.1
12017,109.4
12019,100.0
12021,66.1
12023,130.9
12027,62.5
12029,43.9
12031,98.2
12033,128.9
12035,83.4
12037,110.3
12039,65.0
12041,43.0
12043,3.8
12045,138.6
12047,46.9
12049,49.7
12051,77.3
12053,107.2
12055,80.2
12057,77.0
12059,109.5
12061,99.8
12063,122.9
12065,60.5
12067,65.9
12069,87.7
12071,70.1
12073,71.4
12075,125.9
12077,45.0
12079,84.2
