FIPS_Code,Rate_2017
1001,106.6
1003,106.7
1005,90.7
1007,80.6
1009,48.9
1011,19.9
1013,118.6
1015,138.2
1017,127.0
1019,128.3
1021,107.0
1023,92.2
1025,154.5
1027,112.2
1029,48.1
1031,118.7
1033,186.0
1035,84.9
1037,24.3
1039,143.1
1041,81.1
1043,141.1
1045,69.6
1047,102.6
1049,103.2
1051,109.4
1053,154.9
1055,130.5
1057,114.3
1059,181.3
1061,42.1
1063,53.9
1065,98.7
1067,26.7
1069,136.2
1071,138.6
1073,104.2
1075,75.4
1077,104.7
1079,98.8
1081,58.5
1083,68.3
1085,0.4
1087,44.6
1089,100.5
1091,127.2
1093,162.1
1095,163.9
1097,118.4
1099,123.4
1101,81.2
1103,117.7
1105,3.6
1107,70.1
1109,98.9
1111,95.0
1113,103.4
1115,105.0
1117,89.6
1119,36.4
1121,123.6
1123,98.3
1125,99.9
1127,216.1
1129,52.4
1131,52.6
1133,155.1
2020,59.4
2090,42.9
2110,65.7
2122,83.0
2130,77.4
2150,28.9
2170,69.3
2195,63.0
2198,38.9
2220,7.2
2261,38.2
2275,0.2
4001,18.6
4003,69.0
4005,42.4
4007,88.0
4009,74.6
4011,0.0
4012,67.0
4013,59.2
4015,111.8
4017,66.0
4019,65.4
4021,50.1
4023,21.9
4025,87.2
4027,48.5
5001,116.0
5003,108.1
5005,133.4
5007,79.4
5009,141.2
5011,109.6
5013,73.7
5015,78.4
5017,80.0
5019,95.3
5021,111.4
5023,112.2
5025,0.7
5027,101.5
5029,122.1
5031,141.5
5033,141.4
5035,105.5
5037,101.9
5039,77.6
5041,129.4
5043,120.8
5045,89.9
5047,19.3
5049,109.2
5051,157.8
5053,74.1
5055,166.8
5057,116.4
5059,95.5
5061,138.7
5063,150.9
5065,95.8
5067,136.4
5069,103.8
5071,101.2
5073,111.0
5075,35.8
5077,67.5
5079,59.6
5081,158.4
5083,37.9
5085,95.4
5087,81.1
5089,78.1
5091,102.5
5093,138.4
5095,85.6
5097,82.0
5101,0.9
5103,138.7
5105,27.5
5107,156.5
5109,87.5
5111,112.5
5113,105.8
5115,105.8
5117,72.1
5119,98.3
5121,106.0
5123,89.2
5125,92.7
5127,116.1
5129,68.6
5131,153.1
5133,57.1
5135,124.4
5137,154.1
5139,120.0
5141,90.6
5143,91.9
5145,116.9
5147,2.7
5149,57.4
6001,26.4
6005,99.4
6007,106.7
6009,70.0
6011,34.8
6013,36.2
6015,119.3
6017,55.7
6019,52.8
6021,75.4
6023,77.8
6025,47.6
6027,50.3
6029,54.9
6031,59.1
6033,90.0
6035,67.2
6037,29.8
6039,42.6
6041,32.4
6043,55.9
6045,89.7
6047,56.6
6049,82.3
6051,44.6
6053,43.9
6055,35.1
6057,70.7
6059,37.0
6061,56.5
6063,63.5
6065,44.8
6067,44.3
6069,39.7
6071,46.7
6073,34.3
6075,27.1
6077,47.8
6079,63.4
6081,27.0
6083,48.7
6085,20.7
6087,49.1
6089,102.1
6091,12.4
6093,97.5
6095,37.7
6097,46.0
6099,76.0
6101,95.3
6103,83.2
6105,81.2
6107,58.3
6109,101.6
6111,47.8
6113,41.1
6115,68.9
8001,47.2
8003,120.4
8005,50.3
8007,66.2
8009,78.7
8011,44.1
8013,42.2
8014,46.4
8015,84.3
8017,63.4
8019,31.0
8021,0.8
8025,25.1
8029,77.0
8031,35.1
8035,45.6
8037,41.0
8039,31.5
8041,60.2
